date;conteiner;kg;value_usd;country;english;macro_region;region;goods_type;name_en;all_country_borders_points
03.01.2018;0.0;1611000;565461;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
03.01.2018;0.0;1020000;389640;Венгрия;Hungary;Европа;Восточная Европа;сложные и комплексные;Hungary;[47.1652797826,19.4121477714]
03.01.2018;0.0;960000;343680;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
03.01.2018;0.0;512000;189440;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
03.01.2018;0.0;320000;118400;Литва;Lithuania;Европа;Северная Европа;сложные и комплексные;Lithuania;[55.347247978,23.8004638579]
03.01.2018;0.0;256000;146176;Бельгия;Belgium;Европа;Западная Европа;сложные и комплексные;Belgium;[50.6723444731,4.58010636415]
03.01.2018;0.0;1599600;359910;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
03.01.2018;0.0;512000;120320;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
03.01.2018;0.0;3740000;878900;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
03.01.2018;0.0;408000;95880;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
03.01.2018;0.0;2380000;559300;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
04.01.2018;0.0;1011500;188994,65;Литва;Lithuania;Европа;Северная Европа;азотные;Lithuania;[55.347247978,23.8004638579]
04.01.2018;0.0;1020250;179773,32;Литва;Lithuania;Европа;Северная Европа;азотные;Lithuania;[55.347247978,23.8004638579]
04.01.2018;0.0;29792650;5814083,95;Финляндия;Finland;Европа;Северная Европа;азотные;Finland;[64.1287711419,25.7296255933]
05.01.2018;1.0;2319850;610120,55;Вьетнам;Vietnam;Азия;Юго-Восточная Азия;сложные и комплексные;Vietnam;[9.58382510296,105.90742175]
05.01.2018;1.0;1082125;202277,88;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
05.01.2018;1.0;1591940;402760,82;Таиланд;Thailand;Азия;Юго-Восточная Азия;сложные и комплексные;Thailand;[14.1518739329,100.898116007]
05.01.2018;1.0;1646360;424760,88;Таиланд;Thailand;Азия;Юго-Восточная Азия;сложные и комплексные;Thailand;[14.1518739329,100.898116007]
05.01.2018;0.0;1674300;460412,41;Латвия;Latvia;Европа;Северная Европа;сложные и комплексные;Latvia;[56.9091738905,24.5669304062]
05.01.2018;0.0;1446000;261726;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
05.01.2018;0.0;1309000;236929;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
05.01.2018;0.0;1318000;238558;Украина;Ukraine;Европа;Восточная Европа;азотные;Ukraine;[49.0653791023,31.3445241453]
05.01.2018;0.0;492300;92552,4;Мавритания;Mauritania;Африка;Западная Африка;азотные;Mauritania;[20.2380039848,-10.4533428423]
06.01.2018;0.0;2805000;984555;Бразилия;Brazil;Америка;Южная Америка;сложные и комплексные;Brazil;[-10.8279176405,-52.8483115037]
06.01.2018;0.0;195000;52272,51;Монголия;Mongolia;Азия;Восточная Азия;азотные;Mongolia;[46.8355124942,103.069689273]
08.01.2018;0.0;13459300;3397261,91;Камерун;Cameroon;Африка;Центральная Африка;азотные;Cameroon;[5.6574954749,12.6823205003]
09.01.2018;0.0;512000;147527,48;Румыния;Romania;Европа;Восточная Европа;сложные и комплексные;Romania;[45.810947616,25.0748052568]
09.01.2018;0.0;1344000;369600;Таджикистан;Tajikistan;Азия;Южная часть Центральной Азии;сложные и комплексные;Tajikistan;[38.4353032176,69.2884472]
09.01.2018;0.0;2494800;548856;Украина;Ukraine;Европа;Восточная Европа;сложные и комплексные;Ukraine;[49.0653791023,31.3445241453]
09.01.2018;0.0;15000000;4125000;Румыния;Romania;Европа;Восточная Европа;сложные и комплексные;Romania;[45.810947616,25.0748052568]
